Survived,Pclass,Name,Sex,Age
True,3,"Moubarek, Master. Gerios",male,
True,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0
False,3,"Crease, Mr. Ernest James",male,19.0
True,3,"Andersson, Miss. Erna Alexandra",female,17.0
False,3,"Kink, Mr. Vincenz",male,26.0
False,2,"Jenkin, Mr. Stephen Curnow",male,32.0
False,3,"Goodwin, Miss. Lillian Amy",female,16.0
False,2,"Hood, Mr. Ambrose Jr",male,21.0
False,3,"Chronopoulos, Mr. Apostolos",male,26.0
True,3,"Bing, Mr. Lee",male,32.0
False,3,"Moen, Mr. Sigurd Hansen",male,25.0
False,3,"Staneff, Mr. Ivan",male,
False,3,"Moutal, Mr. Rahamin Haim",male,
True,2,"Caldwell, Master. Alden Gates",male,0.83
True,3,"Dowdell, Miss. Elizabeth",female,30.0
False,3,"Waelens, Mr. Achille",male,22.0
True,3,"Sheerlinck, Mr. Jan Baptist",male,29.0
True,3,"McDermott, Miss. Brigdet Delia",female,
False,1,"Carrau, Mr. Francisco M",male,28.0
True,2,"Ilett, Miss. Bertha",female,17.0
True,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0
False,3,"Ford, Mr. William Neal",male,16.0
False,3,"Slocovski, Mr. Selman Francis",male,
True,1,"Fortune, Miss. Mabel Helen",female,23.0
False,3,"Celotti, Mr. Francesco",male,24.0
False,3,"Christmann, Mr. Emil",male,29.0
False,3,"Andreasson, Mr. Paul Edvin",male,20.0
False,1,"Chaffee, Mr. Herbert Fuller",male,46.0
False,3,"Dean, Mr. Bertram Frank",male,26.0
False,3,"Coxon, Mr. Daniel",male,59.0
False,3,"Shorney, Mr. Charles Joseph",male,
False,1,"Goldschmidt, Mr. George B",male,71.0
True,1,"Greenfield, Mr. William Bertram",male,23.0
True,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0
False,2,"Kantor, Mr. Sinai",male,34.0
False,3,"Petranec, Miss. Matilda",female,28.0
False,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,
False,1,"White, Mr. Richard Frasar",male,21.0
False,3,"Johansson, Mr. Gustaf Joel",male,33.0
False,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0
False,3,"Mionoff, Mr. Stoytcho",male,28.0
True,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0
True,3,"Moss, Mr. Albert Johan",male,
False,3,"Rekic, Mr. Tido",male,38.0
True,3,"Moran, Miss. Bertha",female,
False,1,"Porter, Mr. Walter Chamberlain",male,47.0
False,3,"Zabour, Miss. Hileni",female,14.5
False,3,"Barton, Mr. David John",male,22.0
False,3,"Jussila, Miss. Katriina",female,20.0
False,3,"Attalah, Miss. Malake",female,17.0
False,3,"Pekoniemi, Mr. Edvard",male,21.0
False,3,"Connors, Mr. Patrick",male,70.5
False,2,"Turpin, Mr. William John Robert",male,29.0
False,1,"Baxter, Mr. Quigg Edmond",male,24.0
False,3,"Andersson, Miss. Ellis Anna Maria",female,2.0
False,2,"Hickman, Mr. Stanley George",male,21.0
False,3,"Moore, Mr. Leonard Charles",male,
False,2,"Nasser, Mr. Nicholas",male,32.5
True,2,"Webber, Miss. Susan",female,32.5
False,1,"White, Mr. Percival Wayland",male,54.0
True,3,"Nicola-Yarred, Master. Elias",male,12.0
False,3,"McMahon, Mr. Martin",male,
True,3,"Madsen, Mr. Fridtjof Arne",male,24.0
True,3,"Peter, Miss. Anna",female,
False,3,"Ekstrom, Mr. Johan",male,45.0
False,3,"Drazenoic, Mr. Jozef",male,33.0
False,3,"Coelho, Mr. Domingos Fernandeo",male,20.0
False,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0
True,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0
False,2,"Sobey, Mr. Samuel James Hayden",male,25.0
False,2,"Richard, Mr. Emile",male,23.0
True,1,"Newsom, Miss. Helen Monypeny",female,19.0
False,1,"Futrelle, Mr. Jacques Heath",male,37.0
False,3,"Osen, Mr. Olaf Elon",male,16.0
False,1,"Giglio, Mr. Victor",male,24.0
False,3,"Boulos, Mrs. Joseph (Sultana)",female,
True,3,"Nysten, Miss. Anna Sofia",female,22.0
True,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0
False,3,"Burke, Mr. Jeremiah",male,19.0
False,2,"Andrew, Mr. Edgardo Samuel",male,18.0
False,2,"Nicholls, Mr. Joseph Charles",male,19.0
True,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0
False,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0
False,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5
False,2,"Byles, Rev. Thomas Roussel Davids",male,42.0
False,2,"Bateman, Rev. Robert James",male,51.0
True,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0
False,3,"Meo, Mr. Alfonzo",male,55.5
False,3,"van Billiard, Mr. Austin Blyler",male,40.5
False,3,"Olsen, Mr. Ole Martin",male,
False,1,"Williams, Mr. Charles Duane",male,51.0
True,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0
False,3,"Corn, Mr. Harry",male,30.0
False,3,"Smiljanic, Mr. Mile",male,
False,3,"Sage, Master. Thomas Henry",male,
False,3,"Cribb, Mr. John Hatfield",male,44.0
True,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0
False,3,"Bengtsson, Mr. John Viktor",male,26.0
False,3,"Calic, Mr. Jovo",male,17.0
False,3,"Panula, Master. Eino Viljami",male,1.0
True,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0
True,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,
False,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0
False,1,"Baumann, Mr. John D",male,
False,3,"Ling, Mr. Lee",male,28.0
False,1,"Van der hoef, Mr. Wyckoff",male,61.0
False,3,"Rice, Master. Arthur",male,4.0
True,3,"Johnson, Miss. Eleanor Ileen",female,1.0
False,3,"Sivola, Mr. Antti Wilhelm",male,21.0
False,1,"Smith, Mr. James Clinch",male,56.0
False,3,"Klasen, Mr. Klas Albin",male,18.0
False,3,"Lefebre, Master. Henry Forbes",male,
False,1,"Isham, Miss. Ann Elizabeth",female,50.0
False,2,"Hale, Mr. Reginald",male,30.0
False,3,"Leonard, Mr. Lionel",male,36.0
False,3,"Sage, Miss. Constance Gladys",female,
False,2,"Pernot, Mr. Rene",male,
False,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0
True,2,"Becker, Master. Richard F",male,1.0
True,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0
False,1,"Rood, Mr. Hugh Roscoe",male,
True,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,
True,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0
False,3,"Bourke, Mr. John",male,40.0
False,3,"Turcin, Mr. Stjepan",male,36.0
True,2,"Pinsky, Mrs. (Rosa)",female,32.0
False,2,"Carbines, Mr. William",male,19.0
True,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0
True,2,"Navratil, Master. Michel M",male,3.0
True,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0
True,1,"Lurette, Miss. Elise",female,58.0
False,3,"Mernagh, Mr. Robert",male,
False,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0
True,3,"Madigan, Miss. Margaret ""Maggie""",female,
False,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0
False,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0
False,3,"Sage, Mr. Frederick",male,
False,3,"Johanson, Mr. Jakob Alfred",male,34.0
False,3,"Youseff, Mr. Gerious",male,45.5
True,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0
False,3,"Strom, Miss. Telma Matilda",female,2.0
False,3,"Backstrom, Mr. Karl Alfred",male,32.0
True,3,"Albimona, Mr. Nassef Cassem",male,26.0
True,3,"Carr, Miss. Helen ""Ellen""",female,16.0
True,1,"Blank, Mr. Henry",male,40.0
False,3,"Ali, Mr. Ahmed",male,24.0
True,2,"Cameron, Miss. Clear Annie",female,35.0
False,3,"Perkin, Mr. John Henry",male,22.0
False,2,"Givard, Mr. Hans Kristensen",male,30.0
False,3,"Kiernan, Mr. Philip",male,
True,1,"Newell, Miss. Madeleine",female,31.0
True,3,"Honkanen, Miss. Eliina",female,27.0
False,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0
True,1,"Bazzani, Miss. Albina",female,32.0
False,2,"Harris, Mr. Walter",male,30.0
True,3,"Sunderland, Mr. Victor Francis",male,16.0
False,2,"Bracken, Mr. James H",male,27.0
False,3,"Green, Mr. George Henry",male,51.0
False,3,"Nenkoff, Mr. Christo",male,
True,1,"Hoyt, Mr. Frederick Maxfield",male,38.0
False,3,"Berglund, Mr. Karl Ivar Sven",male,22.0
True,2,"Mellors, Mr. William John",male,19.0
False,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5
False,2,"Fahlstrom, Mr. Arne Jonas",male,18.0
False,3,"Lefebre, Miss. Mathilde",female,
True,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0
False,3,"Larsson, Mr. Bengt Edvin",male,29.0
False,2,"Sjostedt, Mr. Ernst Adolf",male,59.0
True,3,"Asplund, Miss. Lillian Gertrud",female,5.0
False,2,"Leyson, Mr. Robert William Norman",male,24.0
False,3,"Harknett, Miss. Alice Phoebe",female,
False,2,"Hold, Mr. Stephen",male,44.0
True,2,"Collyer, Miss. Marjorie ""Lottie""",female,8.0
False,2,"Pengelly, Mr. Frederick William",male,19.0
False,2,"Hunt, Mr. George Henry",male,33.0
False,3,"Zabour, Miss. Thamine",female,
True,3,"Murphy, Miss. Katherine ""Kate""",female,
False,2,"Coleridge, Mr. Reginald Charles",male,29.0
False,3,"Maenpaa, Mr. Matti Alexanteri",male,22.0
False,3,"Attalah, Mr. Sleiman",male,30.0
False,1,"Minahan, Dr. William Edward",male,44.0
False,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0
True,2,"Hamalainen, Mrs. William (Anna)",female,24.0
True,1,"Beckwith, Mr. Richard Leonard",male,37.0
False,2,"Carter, Rev. Ernest Courtenay",male,54.0
False,3,"Reed, Mr. James George",male,
False,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0
False,1,"Stead, Mr. William Thomas",male,62.0
False,3,"Lobb, Mr. William Arthur",male,30.0
False,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0
True,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0
True,1,"Thorne, Mrs. Gertrude Maybelle",female,
True,1,"Cherry, Miss. Gladys",female,30.0
True,1,"Ward, Miss. Anna",female,35.0
True,2,"Parrish, Mrs. (Lutie Davis)",female,50.0
False,3,"Smith, Mr. Thomas",male,
True,3,"Asplund, Master. Edvin Rojj Felix",male,3.0
False,1,"Taussig, Mr. Emil",male,52.0
False,1,"Harrison, Mr. William",male,40.0
False,3,"Henry, Miss. Delia",female,
False,2,"Reeves, Mr. David",male,36.0
False,3,"Panula, Mr. Ernesti Arvid",male,16.0
True,3,"Persson, Mr. Ernst Ulrik",male,25.0
True,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0
True,1,"Bissette, Miss. Amelia",female,35.0
False,1,"Cairns, Mr. Alexander",male,
True,3,"Tornquist, Mr. William Henry",male,25.0
True,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0
False,1,"Natsch, Mr. Charles H",male,37.0
True,3,"Healy, Miss. Hanora ""Nora""",female,
True,1,"Andrews, Miss. Kornelia Theodosia",female,63.0
False,3,"Lindblom, Miss. Augusta Charlotta",female,45.0
False,2,"Parkes, Mr. Francis ""Frank""",male,
False,3,"Rice, Master. Eric",male,7.0
True,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0
False,3,"Duane, Mr. Frank",male,65.0
False,3,"Olsson, Mr. Nils Johan Goransson",male,28.0
False,3,"de Pelsmaeker, Mr. Alfons",male,16.0
True,3,"Dorking, Mr. Edward Arthur",male,19.0
False,1,"Smith, Mr. Richard William",male,
False,3,"Stankovic, Mr. Ivan",male,33.0
True,3,"de Mulder, Mr. Theodore",male,30.0
False,3,"Naidenoff, Mr. Penko",male,22.0
True,2,"Hosono, Mr. Masabumi",male,42.0
True,3,"Connolly, Miss. Kate",female,22.0
True,1,"Barber, Miss. Ellen ""Nellie""",female,26.0
True,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0
False,2,"Levy, Mr. Rene Jacques",male,36.0
False,3,"Haas, Miss. Aloisia",female,24.0
False,3,"Mineff, Mr. Ivan",male,24.0
False,1,"Lewy, Mr. Ervin G",male,
False,3,"Hanna, Mr. Mansour",male,23.5
False,1,"Allison, Miss. Helen Loraine",female,2.0
True,1,"Saalfeld, Mr. Adolphe",male,
True,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0
True,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,
True,3,"McCoy, Mr. Bernard",male,
False,3,"Johnson, Mr. William Cahoone Jr",male,19.0
True,2,"Keane, Miss. Nora A",female,
False,3,"Williams, Mr. Howard Hugh ""Harry""",male,
True,1,"Allison, Master. Hudson Trevor",male,0.92
True,1,"Fleming, Miss. Margaret",female,
True,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0
False,2,"Abelson, Mr. Samuel",male,30.0
True,1,"Francatelli, Miss. Laura Mabel",female,30.0
True,1,"Hays, Miss. Margaret Bechstein",female,24.0
True,1,"Ryerson, Miss. Emily Borie",female,18.0
False,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0
False,3,"Hendekovic, Mr. Ignjac",male,28.0
False,2,"Hart, Mr. Benjamin",male,43.0
True,3,"Nilsson, Miss. Helmina Josefina",female,26.0
True,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0
False,2,"Moraweck, Dr. Ernest",male,54.0
True,1,"Wick, Miss. Mary Natalie",female,31.0
True,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0
False,3,"Dennis, Mr. Samuel",male,22.0
False,3,"Danoff, Mr. Yoto",male,27.0
True,2,"Slayter, Miss. Hilda Mary",female,30.0
True,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0
False,3,"Sage, Mr. George John Jr",male,
True,1,"Young, Miss. Marie Grice",female,36.0
False,3,"Nysveen, Mr. Johan Hansen",male,61.0
True,2,"Ball, Mrs. (Ada E Hall)",female,36.0
True,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.0
True,1,"Hippach, Miss. Jean Gertrude",female,16.0
True,3,"McCoy, Miss. Agnes",female,
False,1,"Partner, Mr. Austen",male,45.5
False,1,"Graham, Mr. George Edward",male,38.0
False,3,"Vander Planke, Mr. Leo Edmondus",male,16.0
True,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,
False,3,"Denkoff, Mr. Mitto",male,
False,1,"Pears, Mr. Thomas Clinton",male,29.0
True,1,"Burns, Miss. Elizabeth Margaret",female,41.0
True,3,"Dahl, Mr. Karl Edwart",male,45.0
False,1,"Blackwell, Mr. Stephen Weart",male,45.0
True,2,"Navratil, Master. Edmond Roger",male,2.0
True,1,"Fortune, Miss. Alice Elizabeth",female,24.0
False,2,"Collander, Mr. Erik Gustaf",male,28.0
False,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0
False,2,"Fox, Mr. Stanley Hubert",male,36.0
True,2,"Brown, Miss. Amelia ""Mildred""",female,24.0
True,2,"Smith, Miss. Marion Elsie",female,40.0
True,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,
True,3,"Coutts, Master. William Loch ""William""",male,3.0
False,3,"Dimic, Mr. Jovan",male,42.0
False,3,"Odahl, Mr. Nils Martin",male,23.0
False,1,"Williams-Lambert, Mr. Fletcher Fellows",male,
False,3,"Elias, Mr. Tannous",male,15.0
False,3,"Arnold-Franchi, Mr. Josef",male,25.0
False,3,"Yousif, Mr. Wazli",male,
False,3,"Vanden Steen, Mr. Leo Peter",male,28.0
True,1,"Bowerman, Miss. Elsie Edith",female,22.0
False,2,"Funk, Miss. Annie Clemmer",female,38.0
True,3,"McGovern, Miss. Mary",female,
True,3,"Mockler, Miss. Helen Mary ""Ellie""",female,
False,3,"Skoog, Mr. Wilhelm",male,40.0
False,2,"del Carlo, Mr. Sebastiano",male,29.0
False,3,"Barbara, Mrs. (Catherine David)",female,45.0
False,3,"Asim, Mr. Adola",male,35.0
False,3,"O'Brien, Mr. Thomas",male,
False,3,"Adahl, Mr. Mauritz Nils Martin",male,30.0
True,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0
True,3,"Moussa, Mrs. (Mantoura Boulos)",female,
True,3,"Jermyn, Miss. Annie",female,
True,1,"Aubart, Mme. Leontine Pauline",female,24.0
True,1,"Harder, Mr. George Achilles",male,25.0
False,3,"Wiklund, Mr. Jakob Alfred",male,18.0
False,3,"Beavan, Mr. William Thomas",male,19.0
False,1,"Ringhini, Mr. Sante",male,22.0
False,3,"Palsson, Miss. Stina Viola",female,3.0
True,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,
True,3,"Landergren, Miss. Aurora Adelia",female,22.0
False,1,"Widener, Mr. Harry Elkins",male,27.0
False,3,"Betros, Mr. Tannous",male,20.0
False,3,"Gustafsson, Mr. Karl Gideon",male,19.0
True,1,"Bidois, Miss. Rosalie",female,42.0
True,3,"Nakid, Miss. Maria (""Mary"")",female,1.0
False,3,"Tikkanen, Mr. Juho",male,32.0
True,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0
False,3,"Plotcharsky, Mr. Vasil",male,
False,2,"Davies, Mr. Charles Henry",male,18.0
False,3,"Goodwin, Master. Sidney Leonard",male,1.0
True,2,"Buss, Miss. Kate",female,36.0
False,3,"Sadlier, Mr. Matthew",male,
True,2,"Lehmann, Miss. Bertha",female,17.0
True,1,"Carter, Mr. William Ernest",male,36.0
True,3,"Jansson, Mr. Carl Olof",male,21.0
False,3,"Gustafsson, Mr. Johan Birger",male,28.0
True,1,"Newell, Miss. Marjorie",female,23.0
True,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.0
False,3,"Johansson, Mr. Erik",male,22.0
False,3,"Olsson, Miss. Elina",female,31.0
False,2,"McKane, Mr. Peter David",male,46.0
False,2,"Pain, Dr. Alfred",male,23.0
True,2,"Trout, Mrs. William H (Jessie L)",female,28.0
True,3,"Niskanen, Mr. Juha",male,39.0
False,3,"Adams, Mr. John",male,26.0
False,3,"Jussila, Miss. Mari Aina",female,21.0
False,3,"Hakkarainen, Mr. Pekka Pietari",male,28.0
False,3,"Oreskovic, Miss. Marija",female,20.0
False,2,"Gale, Mr. Shadrach",male,34.0
False,3,"Widegren, Mr. Carl/Charles Peter",male,51.0
True,2,"Richards, Master. William Rowe",male,3.0
False,3,"Birkeland, Mr. Hans Martin Monsen",male,21.0
False,3,"Lefebre, Miss. Ida",female,
False,3,"Sdycoff, Mr. Todor",male,
False,3,"Hart, Mr. Henry",male,
True,1,"Minahan, Miss. Daisy E",female,33.0
False,2,"Cunningham, Mr. Alfred Fleming",male,
True,3,"Sundman, Mr. Johan Julian",male,44.0
False,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,
True,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34.0
True,2,"Silven, Miss. Lyyli Karoliina",female,18.0
False,2,"Matthews, Mr. William John",male,30.0
False,3,"Van Impe, Miss. Catharina",female,10.0
False,3,"Gheorgheff, Mr. Stanio",male,
False,3,"Charters, Mr. David",male,21.0
False,3,"Zimmerman, Mr. Leo",male,29.0
False,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28.0
False,3,"Rosblom, Mr. Viktor Richard",male,18.0
False,3,"Wiseman, Mr. Phillippe",male,
True,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0
True,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19.0
False,3,"Flynn, Mr. James",male,
True,3,"Pickard, Mr. Berk (Berk Trembisky)",male,32.0
True,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0
True,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,
True,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0
False,3,"Kallio, Mr. Nikolai Erland",male,17.0
False,1,"Silvey, Mr. William Baird",male,50.0
True,1,"Carter, Miss. Lucile Polk",female,14.0
False,3,"Ford, Miss. Doolina Margaret ""Daisy""",female,21.0
True,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24.0
False,1,"Fortune, Mr. Mark",male,64.0
False,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0
True,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45.0
False,3,"Hampe, Mr. Leon",male,20.0
False,3,"Petterson, Mr. Johan Emil",male,25.0
True,2,"Reynaldo, Ms. Encarnacion",female,28.0
True,3,"Johannesen-Bratthammer, Mr. Bernt",male,
True,1,"Dodge, Master. Washington",male,4.0
True,2,"Mellinger, Miss. Madeleine Violet",female,13.0
True,1,"Seward, Mr. Frederic Kimber",male,34.0
True,3,"Baclini, Miss. Marie Catherine",female,5.0
True,1,"Peuchen, Major. Arthur Godfrey",male,52.0
False,2,"West, Mr. Edwy Arthur",male,36.0
False,3,"Hagland, Mr. Ingvald Olai Olsen",male,
False,1,"Foreman, Mr. Benjamin Laventall",male,30.0
True,1,"Goldenberg, Mr. Samuel L",male,49.0
False,3,"Peduzzi, Mr. Joseph",male,
True,3,"Jalsevac, Mr. Ivan",male,29.0
False,1,"Millet, Mr. Francis Davis",male,65.0
True,1,"Kenyon, Mrs. Frederick R (Marion)",female,
True,2,"Toomey, Miss. Ellen",female,50.0
False,3,"O'Connor, Mr. Maurice",male,
True,1,"Anderson, Mr. Harry",male,48.0
False,3,"Morley, Mr. William",male,34.0
False,1,"Gee, Mr. Arthur H",male,47.0
False,2,"Milling, Mr. Jacob Christian",male,48.0
False,3,"Maisner, Mr. Simon",male,
False,3,"Goncalves, Mr. Manuel Estanslas",male,38.0
False,2,"Campbell, Mr. William",male,
False,1,"Smart, Mr. John Montgomery",male,56.0
False,3,"Scanlan, Mr. James",male,
True,3,"Baclini, Miss. Helene Barbara",female,0.75
False,3,"Keefe, Mr. Arthur",male,
False,3,"Cacic, Mr. Luka",male,38.0
True,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33.0
True,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23.0
False,3,"Strandberg, Miss. Ida Sofia",female,22.0
False,1,"Clifford, Mr. George Quincy",male,
False,2,"Renouf, Mr. Peter Henry",male,34.0
False,3,"Braund, Mr. Lewis Richard",male,29.0
False,3,"Karlsson, Mr. Nils August",male,22.0
True,3,"Hirvonen, Miss. Hildur E",female,2.0
False,3,"Goodwin, Master. Harold Victor",male,9.0
False,2,"Frost, Mr. Anthony Wood ""Archie""",male,
False,3,"Rouse, Mr. Richard Henry",male,50.0
True,3,"Turkula, Mrs. (Hedwig)",female,63.0
True,1,"Bishop, Mr. Dickinson H",male,25.0
False,3,"Lefebre, Miss. Jeannie",female,
True,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0
False,1,"Kent, Mr. Edward Austin",male,58.0
False,3,"Somerton, Mr. Francis William",male,30.0
True,3,"Coutts, Master. Eden Leslie ""Neville""",male,9.0
False,3,"Hagland, Mr. Konrad Mathias Reiersen",male,
False,3,"Windelov, Mr. Einar",male,21.0
False,1,"Molson, Mr. Harry Markland",male,55.0
False,1,"Artagaveytia, Mr. Ramon",male,71.0
